symbol,entry_time,exit_time,qty,entry_price,exit_price,realized_pnl,holding_seconds
NIFTY22112418350CE,2022-11-24 13:43:53,2022-11-24 13:43:54,1.0,34.95,35.2,0.25,1.0
NIFTY22112418350PE,2022-11-24 13:43:53,2022-11-24 13:43:54,1.0,8.85,8.9,0.05000000000000071,1.0
NIFTY22112418400CE,2022-11-24 13:43:54,2022-11-24 13:44:06,1.0,8.05,8.05,0.0,12.0
NIFTY22112418400PE,2022-11-24 13:43:54,2022-11-24 13:44:06,1.0,32.15,32.0,-0.14999999999999858,12.0
NIFTY22112418350PE,2022-11-24 13:44:06,2022-11-24 13:44:09,1.0,8.85,8.85,0.0,3.0
NIFTY22112418350CE,2022-11-24 13:44:06,2022-11-24 13:44:09,1.0,35.25,35.25,0.0,3.0
NIFTY22112418400CE,2022-11-24 13:44:09,2022-11-24 13:44:37,1.0,8.1,8.05,-0.049999999999998934,28.0
NIFTY22112418400PE,2022-11-24 13:44:09,2022-11-24 13:44:37,1.0,31.85,31.85,0.0,28.0
NIFTY22112418350PE,2022-11-24 13:44:37,2022-11-24 13:44:40,1.0,8.75,8.9,0.15000000000000036,3.0
NIFTY22112418350CE,2022-11-24 13:44:37,2022-11-24 13:44:40,1.0,35.0,34.6,-0.3999999999999986,3.0
NIFTY22112418400CE,2022-11-24 13:44:40,2022-11-24 13:44:41,1.0,7.9,7.85,-0.05000000000000071,1.0
NIFTY22112418400PE,2022-11-24 13:44:40,2022-11-24 13:44:41,1.0,32.3,32.35,0.05000000000000426,1.0
NIFTY22112418350CE,2022-11-24 13:44:41,2022-11-24 13:44:43,1.0,34.45,34.5,0.04999999999999716,2.0
NIFTY22112418350PE,2022-11-24 13:44:41,2022-11-24 13:44:43,1.0,8.9,8.85,-0.05000000000000071,2.0
NIFTY22112418400CE,2022-11-24 13:44:43,2022-11-24 13:44:45,1.0,7.9,7.75,-0.15000000000000036,2.0
